,date,station_name,count(card_id)
476,2020-06-30,(04105) Carrera 53,170
477,2020-01-04,(04106) Carrera 47,365
478,2020-10-08,(04106) Carrera 47,234
479,2020-04-28,(04108) El Polo,85
480,2020-03-09,(05000) Portal Américas,237
481,2020-04-17,(05000) Portal Américas - alimentacion,7067
482,2020-04-27,(05002) Tintal,1386
483,2020-06-27,(05002) Tintal,2675
484,2020-03-15,(05002) Tintal,1597
485,2020-09-19,(05100) Banderas P. Central,830
486,2020-01-21,(05100) Banderas P. Central,6419
487,2020-04-28,(05100) Banderas P. Central - alimentacion,2003
488,2020-09-20,(05100) Banderas P. Central - alimentacion,1248
489,2020-05-31,(05100) Banderas P. Central - alimentacion,865
490,2020-03-14,(05101) Mandalay - Cr.73,418
491,2020-09-12,(05103) Marsella,369
492,2020-01-30,(05103) Marsella,3074
493,2020-08-21,(05103) Marsella,389
494,2020-03-03,(05105) Pradera,1073
495,2020-02-10,(05107) Américas - Cr.53,1851
496,2020-09-02,(05107) Américas - Cr.53,197
497,2020-03-06,(05107) Américas - Cr.53,1643
498,2020-02-05,(06000) Portal Eldorado,3027
499,2020-09-09,(06000) Portal Eldorado,369
500,2020-09-16,(06000) Portal Eldorado,380
501,2020-10-01,(06000) Portal Eldorado,411
502,2020-09-02,(06001) Modelia,176
503,2020-01-10,(06002) Normandía,1457
504,2020-09-21,(06002) Normandía,182
505,2020-05-11,(06106) Recinto Ferial,83
506,2020-04-21,(07000) Portal Sur,1026
507,2020-05-29,(07000) Portal Sur,1927
508,2020-06-09,(07000) Portal Sur - alimentacion,8130
509,2020-01-22,(07000) Portal Sur - alimentacion,28999
510,2020-03-08,(07000) Portal Sur - alimentacion,7503
511,2020-04-08,(07000) Portal Sur - alimentacion,4162
512,2020-08-12,(07002) MADELENA,814
513,2020-04-21,(07003) SEVILLANA,237
514,2020-02-29,(07004) VENECIA,2982
515,2020-09-03,(07004) VENECIA,1025
516,2020-09-13,(07006) General Santander,197
517,2020-04-19,(07007) NQS - Calle 38A Sur,43
518,2020-01-25,(07009) SENA,1884
519,2020-09-28,(07009) SENA,628
520,2020-02-08,(07010) Bosa,2045
521,2020-08-31,(07010) Bosa,967
522,2020-09-01,(07010) Bosa,970
523,2020-06-12,(07010) Bosa,995
524,2020-09-22,(07104) Simon Bolivar,176
525,2020-06-15,(07108) Av. El Dorado,24
526,2020-09-05,(07109) CAD,191
527,2020-03-15,(07112) COMUNEROS,682
528,2020-01-08,(07113) SANTA ISABEL,1448
529,2020-09-14,(07113) SANTA ISABEL,368
530,2020-10-10,(07503) SAN MATEO,11720
531,2020-08-01,(07504) TERREROS,4674
532,2020-08-23,(07504) TERREROS,1638
533,2020-03-31,(07505) LEON XIII,1221
534,2020-06-24,(07506) DESPENSA,644
535,2020-06-28,(07506) DESPENSA,203
536,2020-09-16,(07506) DESPENSA,572
537,2020-04-17,(08000) Portal Tunal,291
538,2020-06-26,(08000) Portal Tunal - alimentacion,7493
539,2020-01-11,(08001) Parque el Tunal,950
540,2020-07-08,(08001) Parque el Tunal,553
541,2020-03-18,(08002) Biblioteca,602
542,2020-03-19,(08002) Biblioteca,585
543,2020-06-17,(08002) Biblioteca,321
544,2020-02-09,(09000) Cabecera Usme,1397
545,2020-10-02,(09000) Cabecera Usme,2513
546,2020-09-16,(09002) Consuelo,556
547,2020-04-06,(09002) Consuelo,252
548,2020-04-24,(09002) Consuelo,282
549,2020-04-18,(09004) Santa Lucía,948
550,2020-06-28,(09004) Santa Lucía,880
551,2020-05-24,(09004) Santa Lucía,660
552,2020-06-09,(09100) Calle 40 Sur,1785
553,2020-10-10,(09100) Calle 40 Sur,1587
554,2020-08-14,(09101) Quiroga,658
555,2020-03-24,(09101) Quiroga,443
556,2020-02-20,(09103) Olaya,4253
557,2020-09-17,(09103) Olaya,1047
558,2020-09-09,(09103) Olaya,1040
559,2020-02-14,(09105) Río Fucha,726
560,2020-01-19,(09107) Hortúa,442
561,2020-08-05,(09110) Avenida Jimenez,135
562,2020-09-13,(09111) Calle 19,115
563,2020-07-29,(09111) Calle 19,219
564,2020-08-30,(09001) Molinos,905
565,2020-01-23,(09113) Calle 22,678
566,2020-01-16,(09114) Calle 26,528
567,2020-01-18,(09115) Calle 34,660
568,2020-03-03,(09115) Calle 34,1325
569,2020-09-08,(09117) Calle 45,259
570,2020-01-28,(09118) Marly,2403
571,2020-03-02,(09120) Calle 63,1911
572,2020-02-15,(09123) Calle 76,611
